"","model","SSE"
"1","Additive Triple (0.2)",0.000646637967525436
"2","Additive Triple",0.000633061181684919
"3","Double (0.2)",0.00127973043402103
"4","Double",0.00127321287546562
"5","Mult Triple(0.2)",0.000652394273218588
"6","Mult Triple",0.000632711322128968
